phoenix-srun: job 253776 queued and waiting for resources
phoenix-srun: job 253776 has been allocated resources
phoenix-srun: Job 253776 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

opt_level = O2
keep_batchnorm_fp32 = None <class 'NoneType'>
loss_scale = None <class 'NoneType'>

CUDNN VERSION: 8200

=> creating model 'resnet50'
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Warning:  multi_tensor_applier fused unscale kernel is unavailable, possibly because apex was installed without --cuda_ext --cpp_ext. Using Python fallback.  Original ImportError was: ModuleNotFoundError("No module named 'amp_C'")
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16384.0
Epoch: [0][10/6406]	Time 1.024 (1.024)	Speed 195.271 (195.271)	Loss 7.0571284294 (7.0571)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][20/6406]	Time 0.163 (0.594)	Speed 1227.659 (336.947)	Loss 7.1051926613 (7.0812)	Prec@1 0.500 (0.250)	Prec@5 0.500 (0.250)
Epoch: [0][30/6406]	Time 0.164 (0.451)	Speed 1216.689 (443.948)	Loss 7.0744338036 (7.0789)	Prec@1 0.000 (0.167)	Prec@5 1.000 (0.500)
Epoch: [0][40/6406]	Time 0.164 (0.379)	Speed 1218.497 (527.828)	Loss 6.9745726585 (7.0528)	Prec@1 0.000 (0.125)	Prec@5 1.000 (0.625)
Epoch: [0][50/6406]	Time 0.165 (0.336)	Speed 1214.392 (595.118)	Loss 7.0680365562 (7.0559)	Prec@1 0.500 (0.200)	Prec@5 1.000 (0.700)
Epoch: [0][60/6406]	Time 0.164 (0.307)	Speed 1221.159 (650.718)	Loss 6.9585585594 (7.0397)	Prec@1 0.000 (0.167)	Prec@5 1.000 (0.750)
Epoch: [0][70/6406]	Time 0.170 (0.288)	Speed 1176.597 (695.100)	Loss 6.9854974747 (7.0319)	Prec@1 0.500 (0.214)	Prec@5 0.500 (0.714)
Epoch: [0][80/6406]	Time 0.170 (0.273)	Speed 1173.513 (732.424)	Loss 7.0181422234 (7.0302)	Prec@1 0.000 (0.188)	Prec@5 0.500 (0.688)
Epoch: [0][90/6406]	Time 0.163 (0.261)	Speed 1225.903 (766.717)	Loss 7.0418877602 (7.0315)	Prec@1 0.000 (0.167)	Prec@5 0.000 (0.611)
Epoch: [0][100/6406]	Time 0.164 (0.251)	Speed 1216.787 (796.166)	Loss 7.0231461525 (7.0307)	Prec@1 0.000 (0.150)	Prec@5 0.000 (0.550)
Epoch: [0][110/6406]	Time 0.165 (0.243)	Speed 1210.151 (821.721)	Loss 7.0144376755 (7.0292)	Prec@1 0.000 (0.136)	Prec@5 0.000 (0.500)
